Course_Name,Course_Description,learning_goals,level,duration,Time,Exam,Project,Course_Content
أساسيات Firebase,سنتعرف في هذهِ الدورة على أساسيات منصة Firebase وأهم الخدمات التي تقدمها للمطوّرين.,"المصادقة Authentication., التخزين Storage., قواعد البيانات Firestore و Realtime.",مبتدئ,ساعتان,120 دقيقة تدريبية,5  اختبارات,no,"نظرة على منصة Firebase,  نظرة على Authentication,  نظرة على Storage,  نظرة على Cloud Firestore,  نظرة على Realtime Database"
C# 102,"سنتعرف في هذهِ الدورة على طرق استعمال التواريخ والوقت والمعاملات الرياضيّة والمنطقيّة في #C بالإضافة إلى مفاهيم متقدمة في لغة #C 
ومقدمة عن مفهوم التصنيفات أو Classes وObjects وكيفية إنشائهم.","طرق استخدام التواريخ والوقت والمعاملات., التعرف على مفاهيم مختلفة مثل تحويل أنواع البيانات., كيفية إنشاء Class و Object.",مبتدئ,ساعتان,120 دقيقة تدريبية,5  اختبارات,no,"التعامل مع الأرقام | Numbers,  المعاملات | Operators,  مفاهيم في #C,  المكتبات | Libraries,  مقدمة في Class و Object"
Python 101,سنتعرف في هذهِ الدورة على أساسيات لغة Python، حيث نقوم بداية بتجهيز بيئة العمل ثم التعرف على طريقة تخزين البيانات والتعامل مع أنواع البيانات المختلفة وتنفيذ العمليات والأوامر البسيطة عليها مثل الجُمل الشرطيّة، عمليات التكرار والتعامل مع الدوال.,"ما هي لغة Python وفيما تستخدم؟, التعامل مع Data Types وتخزينها وتنفيذ العمليات عليها., التعامل مع كل من  Loops و Conditions و Functions.",مبتدئ,3  ساعات,180 دقيقة تدريبية,9  اختبارات,مشروعان,"مقدمة في لغة Python,  الأدوات المستخدمة,  التعليقات | Comments,  المتغيرات | Variables,  المدخلات والمخرجات | Inputs and Outputs,  أنواع البيانات والمعاملات | Data Types & Operators,  أنواع البيانات المتقدمة,  الشروط | Condition,  التكرار | Loops,  الدوال | Functions,  المشروع"
kotlin 103,سنتعرف في هذهِ الدورة على عدد من المفاهيم المتقدمة في kotlin.,"تعلم high-order functions., تعلم  coroutines., تعلم lambdas.",متوسط,ساعتان,120 دقيقة تدريبية,6  اختبارات,no,"مقدمة في Generics,  مقدمة في Exception Handling,  مقدمة في Nullable types,  مقدمة في Advanced Functions,  مبادئ في Scope function,  مبادئ في Coroutines"
C# 101,سنتعرف في هذهِ الدورة على أساسيات لغة #C وكيفية استخدام المفاهيم البرمجيّة فيها، والتي تضم تعريف المتغيرات وإنشاء جمل طباعة وإدخال واستخدام الجمل الشرطية ومفهوم Loops والدوال بالإضافة إلى طرق استدعائها.,"تعريف المتغيرات وأنواع البيانات وطرق حفظها., إنشاء الجمل الشرطيّة وطباعتها., مفهوم الدوال وكيفية كتابتها واستدعائها.",مبتدئ,ساعتان,120 دقيقة تدريبية,7  اختبارات,مشروع واحد,"مقدمة في #C,  أساسيات في #C,  أنواع البيانات | Data Types,  الجمل الشرطية | Conditions,  التكرار | Loops,  المصفوفات | Arrays,  الدوال | Functions,  المشروع"
Bootstrap,سنتعرف في هذهِ الدورة على تنسيق صفحات الويب باستخدام Bootstrap ثم ستقوم بتوظيف ماتعلمته في مشروع.,"التعرف على النقلة النوعية التي يحدثها Bootstrap في التنسيق., طريقة استخدام كلاسات Bootstrap للتنسيق بشكل سريع., تطبيق ماتم تعلمه على صفحة ويب حقيقية.",متوسط,ساعتان,120 دقيقة تدريبية,3  اختبارات,no,"مقدمة في Bootstrap,  العناصر الأساسية | Basic Style,  التنسيق | Layout,  العناصر | Components,  المشروع"
CSS,سنتعرف في هذهِ الدورة على مفهوم CSS وكيفية إضافته إلى ملف HTML لتنسيق صفحات الويب، كما سنتعرف على كيفية التحكم بألوان العناصر وأحجامها.,"التعرف على مفهوم CSS, التحكم بألوان وأحجام الخطوط وأنواعها, طريقة تنسيق الإطارات",مبتدئ,ساعتان,120 دقيقة تدريبية,6  اختبارات,مشروع واحد,"مقدمة في CSS,  الخلفيات | Background,  النصوص | Texts,  الإطارات  | Borders,  خصائص Box Model,  تنسيق الصفحة | Layout,  المشروع"
مقدمة في DOM,سنتعرف في هذهِ الدورة على كيفية الوصول إلى عناصر HTML باستخدام DOM وإجراء عدد من العمليات عليها.,"سنتعرف على DOM وكيفية التعامل معه., سنتعرف على كيفية الوصول إلى عناصر HTML., سنتعرف على Event Listener وكيفية إضافتها على عنصر HTML.",مبتدئ,ساعة واحدة,60 دقيقة تدريبية,3  اختبارات,no,"مقدمة في DOM,  اجراءات على عناصر DOM,  مقدمة في Event"
HTML,سنتعرف في هذهِ الدورة على أساسيات HTML وعلى طريقة استخدامها في إنشاء صفحات الويب.,"إنشاء الهيكل الأساسي لصفحة الويب., عرض النصوص، الصور، مقاطع الفيديو وغيرها., بناء صفحة ويب متكاملة.",مبتدئ,3  ساعات,180 دقيقة تدريبية,8  اختبارات,no,"مقدمة في HTML,  النصوص | Text,  تنسيق النصوص | Formatting,  القوائم | Lists,  الروابط | Links,  الوسائط | Media,  الجداول |  Tables,  النماذج | Forms"
Kotlin 101,سنتعرف في هذهِ الدورة على الأساسيات في برمجة Kotlin.,"تعلم ما هي لغة Kotlin., كيفية تحميل intellij., تعلم الأساسيات في البرمجة باستخدام Kotlin.",مبتدئ,ساعتان,120 دقيقة تدريبية,7  اختبارات,no,"مقدمة في Kotlin,  المتغيرات والثوابت | variables and constants,  أنواع البيانات | Data types,  المعاملات | Operators,  الجمل الشرطية | Conditional statements,  مقدمة في collections,  التكرار | Loops,  مقدمة في الدوال | Functions"
Kotlin 102,سنتعرف في هذهِ الدورة على عدد من المواضيع المتقدمة في لغة Kotlin كما سنتعرف على بعض المفاهيم الجديدة مثل Object Oriented Programming,"مفاهيم متقدمة في kotlin., مفهوم الوراثة في البرمجة., كيفية استخدام Objects و Companion objects.",مبتدئ,ساعة واحدة,60 دقيقة تدريبية,7  اختبارات,no,"مقدمة في برمجة الكائنات,  مقدمة في الوراثة | Inheritance,  مقدمة في Abstract,  مقدمة في interface,  مقدمة في Data and Enum Classes,  مقدمة في التصنيفات المتداخلة | Nested Classes,  مقدمة في  Object and Companion object"
JavaScript 102,سنتعرف في هذهِ الدورة على عدد من المفاهيم في JavaScript والتي ستساعدك على بناء برامج ذات إمكانيات أكبر مثل طرق التعامل مع الأرقام والتواريخ واستخدام Callback وطرق التعامل مع المصفوفات والدوال، كما سنتعرف على مفهوم البرمجة الكائنية أو Object Oriented Programming وطرق استخدامها.,"طرق التعامل مع الأرقام ومفهوم Callback., أهم الدوال المستخدمة للتعامل مع المصفوفات., مفهوم البرمجة الكائنية في JavaScript.",متوسط,6  ساعات,360 دقيقة تدريبية,5  اختبارات,مشروع واحد,"الأرقام والتواريخ,  مفهوم Callback وكيفية تطبيقه,  دوال المصفوفات | Advanced Array,  البرمجة الكائنية | Object Oriented Programming,  نظرة على الدوال بشكل أعمق | Advanced Functions,  المشروع"
JavaScript 103,سنتعرف في هذهِ الدورة على عدد من المفاهيم المتقدمة والتي تساعدنا على كتابة برامج ذات خصائص وإمكانيات عالية، كمفهوم Regular Expression وطريقة استخدامها للبحث في النصوص والتعامل معها، كما سنتعرف على مفهوم Destructuring وطرق استخدامه المختلفة، بالإضافة إلى مفهوم Promises وأهميته في تنظيم مسار البرنامج.,"البحث في النصوص باستخدام Regular Expression., الإسناد باستخدام Destructuring., تنظيم مسار البرنامج باستخدام Promises.",متقدم,6  ساعات,360 دقيقة تدريبية,3  اختبارات,no,"مفهوم Regular Expressions,  مفهوم  Promises,  مفهوم Destructuring"
Node.js,سنتعرف في هذهِ الدورة على مفهوم Node.js بشـكل عـام، ثم سنسلط الضوء عـلى الأوامر البرمجية وكيفية التعامل معها وتنفيذها في Node.js بالإضافة إلى طريقة استخدامها في المشاريع البرمجية الحقيقة.,"التعرف على مفهوم Node.js., التعرف على مفهوم Node REPL., التعرف على نظام إدارة الحزم Npm.",مبتدئ,3  ساعات,180 دقيقة تدريبية,6  اختبارات,no,"مقدمة في Node.js,  طريقة استخدام Node.js,  الوحدة REPL,  تصدير وحدة | Module,  نظام إدارة الحزم | NPM,  مكتبة Filesystem,  مشروع"
Swift 103,سنتعرف في هذهِ الدورة على مفاهيم متقدمة في Swift مثل ترتيب البيانات في Struct والتعامل مع الأخطاء وغيرها الكثير.,"مفهوم Enumeration و Tuple بالإضافة إلى Struct., مفهوم Error Handling وكذلك Defer و Guard., مفهوم Protocol و Extension وكذلك Generics.",متوسط,4  ساعات,240 دقيقة تدريبية,6  اختبارات,مشروع واحد,"مقدمة في Enumeration و Tuples,  مقدمة في Struct,  مقدمة في Closures,  مقدمة في Protocol  و Extension,  مقدمة في Error Handling و Defer,  مقدمة في Guard و Generics,  المشروع"
MongoDB,سنتعرف في هذهِ الدورة على مفهوم قواعد البيانات وأحد أشهر أنواعها وهي MongoDB، ثم سنتعرف على  طريقة التعامل مع البيانات من إضافة وحذف وتعديل. كما سنتعرف على طريقة استخدام برنامج MongoDB Compass، بالإضافة إلى طريقة حفظ البيانات والتعامل معها باستخدام خدمة MongoDB Atlas السحابية.,"مفهوم قواعد البيانات., التعامل مع قواعد البيانات في MongoDB., طريقة استخدام Compass و Atlas.",مبتدئ,4  ساعات,240 دقيقة تدريبية,6  اختبارات,مشروع واحد,"قواعد البيانات,  الأدوات المستخدمة,  التعامل مع قواعد البيانات,  التعامل مع Collections,  التعامل مع Documents,  التعامل مع Aggregation,  العلاقات | Relations,  التعامل مع قواعد البيانات عن طريق Compass,  مدخل إلى Atlas,  المشروع"
Swift 101,سنتعرف في هذهِ الدورة على أساسيات المفاهيم البرمجيّة في لغة swift 5.2 والتي ستساعدك في تطوير تطبيقات iOS.,"أساسيات المفاهيم البرمجية في لغة Swift., طرق وأساليب التعامل مع البيانات., مفهوم الدوال وكيفية كتابتها واستدعائها.",مبتدئ,4  ساعات,240 دقيقة تدريبية,8  اختبارات,مشروع واحد,"مدخل إلى Swift,  المتغيرات والثوابت Variabels and Constants,  أنواع البيانات | Data Types,  المعاملات | Operators,  الجمل الشرطية | Control Flow,  التكرار | Loop,  مقدمة في Collections,  مقدمة في Functions,  المشروع"
Swift 102,"سنتعرف في هذهِ الدورة على مفهوم البرمجة الكائنية Object-Oriented-Programming 
مع تطبيقها في لغة Swift 5.3 بالإضافة إلى مفهوم Optionals","مفهوم Class ومفهوم Object., مفهوم الوراثة Inheritance., مفهوم التحكم بالوصول Access Control., مفهوم Optionals.",مبتدئ,4  ساعات,240 دقيقة تدريبية,6  اختبارات,مشروع واحد,"مقدمة في Classes و Objects,  الخصائص | Properties,  مقدمة في Methods,  الوراثة | Inheritance,  التحكم بالوصول | Access Control,  مقدمة في Optionals,  المشروع النهائي"
Heroku,في هذه الدورة سنتعرف على طريقة استخدام منصة Heroku لاستضافة ونشر مشاريعنا.,"التسجيل في منصة Heroku., تجهيز وإعداد البرنامج للرفع., تجهيز واستخدام قواعد البيانات السحابية.",مبتدئ,ساعة واحدة,60 دقيقة تدريبية,no,no,رفع المشاريع على منصة Heroku
Express,سنتعرف في هذهِ الدورة على دور Express وأهميته في المشاريع البرمجية، وعلى طريقة توظيفه للتفاعل مع استقبال Requests وإعطاء Responses.,"التعرف على الخصائص التي يقدمها Express لمشروعك., استقبال الطلبات | Requests ومعالجتها وإعطاء ردود | Responses., تعلم Express بشكل مستقل غير متعلق بأي Framework.",مبتدئ,3  ساعات,180 دقيقة تدريبية,4  اختبارات,no,"نظرة على Express,  دوال Application,  دوال Request,  دوال Response,  مفهوم Router"
JavaScript 101,سنتعرف في هذهِ الدورة على أساسيات لغة JavaScript، حيث نقوم بالتعرف على عدد من المفاهيم كالتعليقات والمتغيرات والثوابت والمصفوفات والجمل الشرطيّة وجمل التكرار بالإضافة إلى الدوال.,"أنواع البيانات وطرق حفظها والوصول إليها., طرق وأساليب التعامل مع البيانات., مفهوم الدوال وكيفية كتابتها واستدعائها.",مبتدئ,5  ساعات,300 دقيقة تدريبية,8  اختبارات,مشروع واحد,"الأداوات المستخدمة,  المتغيرات والثوابت | Variables & Constants,  التعليقات | Comments,  أنواع البيانات والمعاملات | Data Types & Operators,  النصوص | Strings,  المصفوفات | Arrays,  الجمل الشرطية | Conditions,  التكرار | Loops,  الدوال | Functions,  المشروع"
